Participant_ID,CATQ_Compensation,CATQ_Masking,CATQ_Assimilation,CATQ_Total,NR6_Score,Age,Ethnicity,Gender,Education,Response_Q1_Natural_World_Importance,Response_Q2_Favorite_Things,Response_Q3_Nature_Knowledge
40,48,42,38,128,29,18-24,Multiracial,Woman,Master's,the natural world allows me to recharge. I feel like I'm really connected to something when I'm surrounded by nature.,the silence. the fresh air. the sounds of birds and trees and wind. the sun. the sense of connection and life.,I know some things about nature because it is a subject that I am passionate about. loves the interaction that the natural environment manages to create with each other. the balance between fauna and flora. I enjoy watching bees and the way they work in community and communicate with each other.
41,41,36,31,108,25,25-34,White,Man,High school,"Nature is important in the functioning of the world. Trees give us oxygen, bees pollinate flowers, and so on. As for me, I simply enjoy admiring animals or rare plant specimens","Being close to nature, among animals. Breathing fresh air, feeling the breeze on your back","In nature, everything is for something or to serve something. Just as animals create their own food chain, plants give us oxygen. I love pets, I know a lot about them but to write about it would be lack of time. I visit various zoos or nature parks, so I know what a birch or spruce looks like"
42,17,16,22,55,20,35-44,Other,Woman,Bachelor's,"It depends. When I was a kid, my father used to take me to super natural destinations, and some of them were super extreme for me.
Now that he's dead, I can appreciate them more.","First of all, to be on a different place, discovering different animals, plants, etc. But to be honest, it's not something I do frequently.","I know important stuff about pyramids, how to go up but specially go down when the steps are super short."
43,33,30,17,80,23,18-24,Multiracial,Man,High school,"The natural world is very important to me because it's in the natural world that everything happens, I may have a ""life"" in ""social world"" via internet or some apps but the natural world is where I can be who I am with my friends and family.","The pure air, the feeling in being in the nature and the beauty of the natural things are some of my favourite things about being in nature.","I know how to plant some vegetables, also how to handle some animals. I also know how to harvest fruit and vegetables. "
44,24,37,18,79,27,55-64,White,Woman,Master's,The natural world makes me feel more relaxed. It helps me slow down and appreciate what is all around me. It helps my mind wander and sometimes helps me view things that crop up in my life from different angles.,"Sunlight, a breeze, a bird in flight or sitting near me, the sound of running water, the stillness, the clouds.","Swallows are terrific to watch in flight. They swoop, twist and turn, as they track flying insects to eat. They don't just gobble up what is in their path, instead they select particular (and large) insects to catch on the fly. They are monogamous and build oval shaped nests made of muds and bits and pieces. "
45,33,30,34,97,20,18-24,Black,Woman,High school,it is important to me because get to learn from how conduct them in different situation ,just sitting and watching people,"i do not have a lot about these subject i am still learn about plant 
i am learning why they smell soo nice in the morning than in the evening "
46,44,49,45,138,16,18-24,White,Man,High school,"It's literally making me stay alive, so it's rather important. Besides it's beautiful and interesting, I won't ever get bored of it.","Being alone, it's calming and more quiet. I like to chill out like that.","You can find Swans and ducks most often and they really got used to living around humans. When they see anybody, they swim towards them, as if hoping that they will get some food. "
47,29,22,20,71,20,25-34,White,Woman,Bachelor's,I think it can calm my mind and suggests me those things in my life that are really irrelevant. I think it helps my mind too in order to stay active.,"The silence, the colors, the lack of strong human presence, the air and the wide spaces. The light of the sun.","I really like river otters, they are mammals in risk of extinction. BTW they are really cute, especially when playing like a flipper with their hands and some stones, or spinning in the water. They make funny sounds (like Chewbacca from star wars) and they seem to be very protective towards their puppies, they hug them very tight"
48,41,33,36,110,21,25-34,White,Non-binary,Master's,I find I revere the natural world and turn to it to remind myself of the beauty of life and thus as solace at times.,I appreciate the colors and the sounds and the stillness and serenity that bigger or more isolated places may offer.,"Not very profound knowledge. I have studied biology and have the knowledge such courses provide. Otherwise, I know enough to keep my house plants alive."
49,33,44,18,95,22,18-24,White,Man,High school,"It is something that always surrounds us and therefore can't be ignored. The natural world has an impact on anything that I do, whether it be inside or outside. I recognize that my mood is often strongly affected by the world around me. I feel that without different aspects to the world, I would get bored and feel frustrated very easily.","One of the best things about nature is the smell. Whenever I go somewhere new or into a new atmosphere, the first thing I notice is smell. For example, a forest in early summer is one of the best smelling things in the world. I also enjoy the freedom that comes with spending time in nature. I feel like there is nothing to stop me from acting exactly how I want and expressing myself in ways that I feel comfortable in.","My knowledge about nature is quite limited. I know my way around and can recognize different plants and animals, but I don't know much about one specific topic. I think I am best off in a pine forest, which is one of the most common forest types in my homeland. I can easily recognize blueberries, different trees and even some animal tracks. "
50,28,40,30,98,15,18-24,Black,Man,High school,"The natural world is of utmost importance, we can not be, without it, its integral for our existence, from the food we eat to survive and water we drink to the oxygen we breath every second, which without we would die.","Above it all, I think its the calming feeling nature gives, not to sound cliché but it's soothing.","Besides what i learnt from high school and television, i dont know, i'm studying medicine right now so i would say i know a whole lot about the human body and the systems involved there, how sickness and disease develops how it affects us, how medicine interacts with our bodies, and how taking care of our bodies is very important"
51,25,35,21,81,20,25-34,Hispanic,Man,Bachelor's,"i grew up in a small tall with a little forest near, i used to walk with my dad, my brother and dogs, i always remember those days.","tranquility
silence",grow my own food
52,21,35,28,84,14,18-24,White,Woman,Master's,"It is our environment, our home, our resources. It is also a source of relaxation, of wonder and imagination, an opportunity to discover and do different things","I love the smell and sounds of nature. I love the beach, lakes, waterfalls, ... environments with water ... the most","I was a good student in natural sciences courses, so I believe I have a basic understanding of many topics... but I do not have profound knowledge in any specific topic, I ended up prefering engineering topics. I know that blue, true blue, is very rare in nature (animals, mostly)"
53,42,39,23,104,23,25-34,Hispanic,Man,Master's,"In the ways that the natural world is the place where all live. I am a Biologist so I watch the natural world in a particular manner than the rest of the people. For example, when I see a bug, I observe that and describe it. ",The contact with the plants and animals. The opportunities to breathe fresh air and see the trees. ,"I have several knowledge about the natural world. For example, I can describe and classify insects and plants according to their morphological characteristics and taxa. "
54,29,31,30,90,19,35-44,White,Man,High school,"It represents our link to the planet, it's important to always remember we are one of the species living on the Earth.","Living peacefully among other species, admiring different landscapes in different places all over the planet.","I particularly enjoy countryside and seaside of the place in which I live. When weather allows, I love also urban trekking in my city."
55,44,37,36,117,23,18-24,White,Man,High school,"when I'm out in nature I like to breathe fresh, smoke-free air","beautiful weather, nice atmosphere with friends","plants must grow, animals must reproduce"
56,33,33,24,90,15,25-34,Black,Man,Bachelor's,Not so much. I don't feel very affected by most things that happen around me as I have very little control over them.,You can get to be relaxed and appreciate the environment.,I know that the Sahara desert is the world's largest hot desert 
57,39,40,39,118,17,25-34,White,Man,Master's,"I like going outside every day, getting some fresh air and doing some walking/cycling/sport activities. I think it helps me to stay healthy and sharp. It also lets me escape more easily from work (that I do in the city).",I can appreciate the beauty of a nice landscape or forest to walk/cycle through. I like that it is often quiet in nature and you can just be outside and think without being disturbed that much by traffic noises etc.,"I worked at a strawberry/cherry farm for a couple of years and know some things about strawberry plants and cherry trees. One interesting fact is that cherries can only be eaten during the summer season, but not all cherry trees produce cherries all summer long so farms use different breeds of trees that grow in different parts of the summer. Hence, the cherries you can buy at the start of the summer are almost always different than the cherries you can buy at the end of the summer."
58,36,40,13,89,20,25-34,Hispanic,Man,Master's,"Natural world is around us, always & everywhere. It is really important for me to appreciate, enjoy and conserve it, since there is where life can merge or survive. I try, with my family, to learn about nature and to act as protective as possible.","The wind in my face, the smells, the sounds... it would be really difficult to take just a piece of this delicious cake.","I want to share with you about the ducks & squirrels in contact with humans. We tend to feed them with human food, but we souldn't do that. They are wild animals, so they should seek for their own food and survive as naturally as posible, since their body and internal processes are prepared to some kind of nutrients and kinds of food; nevertheless, is important to not make them dependents on humans, since we won't be able always to fill their needs."
59,32,45,44,121,17,18-24,White,Woman,High school,"the natural world is important since that was what was here before any of us, the animals, the trees, the plants, the spaces, the rivers, the oceans, they were ""all"" here before humans. Seeing it makes us feel more connected to our inner selfs, makes us feel more down-to-earth and being like that is very important, the natural world making us feel like that is very important. ","Getting to catch the sun, or some rain, if I'm prepared for it. Catch the wind blowing my hair away from my face and being able to breathe a fresh air rather than a ""noisy"" one. ","I took the scientific course in high school in my country, but I've grown out of it because I was never really good at it, not mandatorily at least. I like to feel the natural world and I only know a bit from the basics. I studied about the evolution of species and the systems of certain spieces as well."
60,42,39,35,116,27,25-34,White,Man,Bachelor's,Very important. I love to connect with nature and one of my life goals is to visit every place on this beautiful planet.,The feeling of relaxation and enjoying the natural beauty of the different scenarios.,"I would say I know little about plants, but I really love to watch animal documentaries. Lately I've been learning about wild mushrooms and also have been picking some local wild mushrooms to eat this fall. "
61,34,31,34,99,30,35-44,White,Woman,High school,"It's very, very important. With age I have developed a greater awareness of my position on the planet and what we as human beings have done to it. I have learned to appreciate and defend the natural world, and to connect with nature more and more intimately.","It's the greatest escape I have from everyday life. We are constantly impacted by information, noise, people, stress, traffic, etc, and being in nature has become extremely necessary for me, to achieve some mental balance and to be able to breathe.","I think I can claim to have a good level of knowledge about the natural world, in some ways. I am passionate about animals, I even volunteer at an abandoned animal shelter, and I am extremely interested in documentaries about animals and everything that has to do with the natural world. I am aware of many of the harms that we cause to the planet, whether through intensive agriculture, the exploitation of fossil fuels, the carbon footprint, excessive consumerism, etc., and I do what I can to do my part and spread the word. I am very interested in plants, I became a vegetarian, I try to discover how food can influence our daily life, health and well-being."
62,44,34,17,95,27,25-34,Other,Man,Bachelor's,"Life is energy, the natural has majority of the purest energy, which its natural flow commonly tampered with by human. I rather go with the flow of natural energy, I interact with fauna, animals (those which i do not fear) insects, and water.","One my favourite things about being in nature is that it is therapeutic, welcoming and and a place where I feel in tune most with myself and spirit.","Here in South Africa as a black man, certain animals are descriptions of certain cultures and tribes. They always in some way have a reference to the people's behaviour and lifestyle. Furthermore, many plants have healing properties in African methodology, which i can attest to."
63,26,24,11,61,26,25-34,Other,Man,Bachelor's,Nature is extremely important to me as everything need the other to survive,"The peace, the different sounds, bonding","I know of some plants that can be used to treat wounds, and even some plants that can be edible or even to draw water from."
64,32,42,11,85,29,35-44,Black,Man,Bachelor's,You get to learn a lot of things about life in general and how other people live. Different life experiences,"Animals
Live stock
Places","South African rural areas are natural, everything you work hard for. Life is totally different from urban areas even though you are in the same country or state."
65,36,34,14,84,26,18-24,White,Woman,High school,It is a way for me to find my roots and clear my head when things get tough. I also get my creative inspiration and relaxation from the natural world.,It makes me calm and reminds me that there is so much beauty in this cruel world. ,"I know quite a lot about animals as I love them, but also about some flowers, like for example the sunflower will always have its head toward the sun, and when it is cloudy or rainy, the sunflowers will face each other for energy and growth."
66,28,26,35,89,25,25-34,White,Woman,High school,"I feel more comfortable in nature, preferably alone, rather than with other people. I don't like loud noises, strong smells and I would be sad if I didn't have the choice to fuel up a bit in nature from time to time.","Love seeing wild animals in their natural habitat, hearing the birds sing and trying to identify them or at least see them. Also one of my favorite smells is the grass after rain.","I recently learned that there are more trees on our planet than there are stars in our galaxy, which is crazy, because humans chop down trees everyday.
I also find it fascinating that elephants are so much like us, very social animals and they have great memory."
67,34,37,23,94,16,18-24,Black,Man,Other,Somewhat important. ,"The sound of the wind, the chirping of birds, the smell of flowers, the smell of the soil after it rains, being in the water.",I have very little knowledge
68,28,32,37,97,21,18-24,White,Woman,Other,"I love nature as I find it really soothing and peaceful, but I can also get stressed about being alone in a large natural setting, though it's mostly out of fear of people/unnatural things than of the natural world itself. But I grew up pretty close to it, and the natural places I feel safe in are my favorite places of all by far.","The colours, the shapes, the smells, and the sounds. For example the sound crickets make in the summer is my favourite sound. And the sea naturally inspires and soothes me.","I don't really have any particular ""scientifical"" knowledge about the natural world, expect some general culture facts, and things I remember from when I was little and I liked researching particular subjects in nature. It's more little facts than a general knowledge about a precise thing."
69,41,38,40,119,17,18-24,Hispanic,Woman,High school,"We all are part of the natural world, we still need sunshine to be happy and wind to feel light. ",Being able to observe some kind of ecosystem working by itself between your eyes,"Ants will always find something sweet, no matter where you put it they always find it!"
70,18,23,16,57,22,25-34,Hispanic,Man,Bachelor's,I believe in the idea that we adapt constantly and that we can be one with nature,The peace that makes me feel,"
I know about mango trees, because my father used to harvest for a livng"
71,45,44,45,134,28,25-34,White,Man,High school,"we're dependent on it
it's extremely fascinating how it all works
it's aesthetic","calms my anxiety, is extremely pleasant to look at, makes me feel very strong emotions, which I find myself pursuing often","I was particularly interested in astronomy and cosmology since my mom bought me a pretty advanced book on the topic as a Christmas present. This resulted in me learning early and reading a lot and my personality trait openness to experience led to my further exploration of a wide variety of topics from multiple branches of natural sciences. 
I'm no expert at any by any means, but it fascinates me to the point where I just keep reading scientific papers as if they were an interesting book."
72,29,26,20,75,30,25-34,Black,Man,High school,"I feel like the natural world provides us with everything we need to grow and prosper. The water we drink, and the plants we eat, it also feeds the animal we eat as well. Nature as well provides a sense of calm and peace to me as well.",The fresh air. The connectedness I tend to feel when I'm in nature. I also enjoy watching animals in their natural settings.,"In my culture, there is a particular plant called Mphepho I don't know the English name but the plant is used a lot in many African cultures as a medium to speak to the ancestors it grows naturally usually in areas of the deep jungle. Burning it a night is followed by a deep blissful sleep."
73,46,45,28,119,20,18-24,Hispanic,Woman,Bachelor's,"I think the natural world it's important in all ways, because, all the time we are interacting with it, and is the provider to all the things ","my favorite things to do in nature is take a break, and relax, it's a great moment to meditate.","i know about the importance to care the nature, actually we have a big ecological problem, and we need to do actions to combat the problems about the natural world."
74,46,42,32,120,30,25-34,"Hispanic,Multiracial",Non-binary,Bachelor's,"The natural world is extremely important. I am actually part of it. I am an animal and I have already noticed how humans interact with nature... We feel like we're better than it sometimes, we exploit resources as if they were only ours but they're not, they belong to all the animals and plants of the world. This is why I try to talk about this all the time, even if people thinks it's difficult to act not accordingly to the capitalist system, I know we can transform our lifestyle in order to find a balance among our life and our consumption habits. ","I love the way the flowers grow. It's amazing how we eat those plants who were once a little seed. Also, animals and mushrooms are amazing, I like the medicine plants, how is it possible to heal with psychedelics and still believe in physical sickness even if our ancestors knew that we could heal by using these tools? Life is amazing, the elements, the sky, even the way we created our society... Everything is just incredible, we must value life such as it is rather than work for money and try to get expensive things we don't even need...","I have more a practical (empirical) knowledge about it. I have read some things about the natural world, of course, I have studied too... But there's nothing like watching by yourself how everything works, for example the world of the mushrooms, they have practically a network like the internet, and actually we can do this too but we're afraid of our own potential as human beings! I know some other stuff but the most amazing thing I have experienced lately is that, about mushrooms."
75,17,38,28,83,17,25-34,Other,Man,Bachelor's,"It provides for the human race. It is a source of oxygen, food and beauty. It should be preserved.","The fresh air, the views and the grass under my feet.","The Portuguese Man-of-War is not actually a singular organism, but a vast colony of micro-organisms who work together yet semi-independently."
76,44,38,30,112,27,18-24,White,Man,High school,We are dependent of the natural world for everything from oxygen to food and water and the fact that people don't realise that we are slowly killing it really scares me.,"I love the peace that it gives you, to just stay there and listen to the wind and the singing of the birds to me is like magic. ",A blue whale's heart is the size of a golf cart.
77,15,27,27,69,27,25-34,Black,Woman,Other,"It is important because it contributes a lot to my physical, emotional and mental wellbeing.
if my natural environment is good and healthy, a lot of other aspects of my life are affected positively.","My physical body can be natured and challenged
My mind gets to breathe
My skin can experience the sun or  rain
The sunsets are beautiful(not a morning person)
Seeing other people protect and interact with nature 
Wetlands","I know that there are resilient plants that can thrive in a variety of environments
Volcanos can desrupt an ecosystem but a new one can be born out of it
Babies love the natural environment until they are taught not to or of the dangers
Pitbulls are dangerous"
78,31,44,25,100,6,25-34,Black,Woman,Bachelor's,"I honesty don't think it is important to me. as long as I have the ground to stand on then yeah, that is the only thing appreciate about the natural world, or the outside.","I do not have any, I do not like being outside, I hate insects so I just imagine myself in nature.","Animals eat each other animals, that is the cycle of life and we as humans are part of that cycle of life to survive. for example Trees and the oxygen they produce."
79,31,38,37,106,16,25-34,White,Man,Master's,"The question is not clear to me. What do you mean by ""natural world"" I am not able to answer this since I didn't get it. ","I think the nature is where we belong as a species, and living in the cities we built are not how our ancestors used to experience the world. My favorite part of the nature is being able to go back to our origin style of living. ","Just the basic knowledge. Nothing comes to my mind at the moment to describe, but for example, I know the things they taught us in the schools. "
80,33,36,33,102,12,25-34,White,Man,Other,"I would not say it's really important. I like walking and sightseeing, but I'm not really that interested.","Probably being calm and just chill. If I am in the village I mentioned, it's probably because I am on vacation. So I don't have to keep in mind all the responsibilities or whatever of a usual day.",People should not interfere with nature as much as we do. We can improve as a species and not harm our natural world. Maybe in 100-200 years we'll achieve that.
81,29,36,13,78,22,18-24,White,Man,Bachelor's,"The natural world is important to me, with its unique and non-artificial beauty. Sometimes I like to go on hikes to natural and protected areas, almost not even ""touched"" man, just so I can feel relaxed, take some pictures and enjoy the moment. Many times I feel a sense of wonder.","As I already said in the last question, when I am in nature I feel more relaxed. I can just enjoy the moment, look around, explore the place by walking and with my eyes. Maybe take a picture of a beautiful landscape, and sometime get a sense of wonder.","My country (Portugal) doesn't have a big known natural system, like a great mountain, a huge desert or a vast forest. What I can tell are some small facts that I know like: the tallest mountain in the world is the Himalayas with its peak, the Everest; the biggest desert in the world is not the Sahara like many people think, but it's actually Antarctic followed by the Arctic; the biggest rainforest in the world is the Amazon, which countains the river that has the most amount of water in the world (although the Nile is longer, the Amazon is more deep and and ""fatter"")."
82,45,46,24,115,22,18-24,Black,Man,High school,It helps me find inner peace.,"Getting all the fresh air, being able to interact with the livestock.",I know about African indigenous breeds of cattle are divide into Bos taurus and bos indicus.
